ID Oferty;ID Stanowiska;ID Firmy;ID Kategorii;ID Waluty;ID Źródła;Link;ID Umiejętności;Seniority;Wynagrodzenie MIN;Wynagrodzenie MAX;Podsumowanie
1003245911;5;4;1;1;1;https://www.pracuj.pl/praca/senior-datastage-developer-gdansk,oferta,1003245911;93;Starszy specjalista (Senior);30996;35128.0;At least 5 years of experience in the same or similar position. Experience in creating data models based on DWH solutions. Very good knowledge of the IBM Datastage tool. Good knowledge SQL. Knowledge of English at at least B2+.
1003245911;5;4;1;1;1;https://www.pracuj.pl/praca/senior-datastage-developer-gdansk,oferta,1003245911;67;Starszy specjalista (Senior);30996;35128.0;At least 5 years of experience in the same or similar position. Experience in creating data models based on DWH solutions. Very good knowledge of the IBM Datastage tool. Good knowledge SQL. Knowledge of English at at least B2+.
1003245911;5;4;1;1;1;https://www.pracuj.pl/praca/senior-datastage-developer-gdansk,oferta,1003245911;24;Starszy specjalista (Senior);30996;35128.0;At least 5 years of experience in the same or similar position. Experience in creating data models based on DWH solutions. Very good knowledge of the IBM Datastage tool. Good knowledge SQL. Knowledge of English at at least B2+.
1003248419;2;4;1;1;1;https://www.pracuj.pl/praca/lead-data-engineer-aws-wroclaw,oferta,1003248419;2;Specjalista (Mid / Regular);35128;39261.0;about 7 years of experience in the position of Data Enginera Higher IT or related education Experience in working using AWS services such as Lambda, GLUE, S3, Step Functions, Dynamodb Experience in data modeling, designing databases and data warehouses Ability to optimize ETL pipettes Python programming ability to use and use pyspark Excellent communication skills in English (min B2+)
1003248419;2;4;1;1;1;https://www.pracuj.pl/praca/lead-data-engineer-aws-wroclaw,oferta,1003248419;84;Specjalista (Mid / Regular);35128;39261.0;about 7 years of experience in the position of Data Enginera Higher IT or related education Experience in working using AWS services such as Lambda, GLUE, S3, Step Functions, Dynamodb Experience in data modeling, designing databases and data warehouses Ability to optimize ETL pipettes Python programming ability to use and use pyspark Excellent communication skills in English (min B2+)
1003248419;2;4;1;1;1;https://www.pracuj.pl/praca/lead-data-engineer-aws-wroclaw,oferta,1003248419;32;Specjalista (Mid / Regular);35128;39261.0;about 7 years of experience in the position of Data Enginera Higher IT or related education Experience in working using AWS services such as Lambda, GLUE, S3, Step Functions, Dynamodb Experience in data modeling, designing databases and data warehouses Ability to optimize ETL pipettes Python programming ability to use and use pyspark Excellent communication skills in English (min B2+)
1003262255;4;15;1;1;1;https://www.pracuj.pl/praca/data-analyst-sap-lodz,oferta,1003262255;14;Specjalista (Mid / Regular), Starszy specjalista (Senior);17220;21648.0;A minimum of three years of experience in a similar role Knowledge of the architecture of BI systems Knowledge about SAP data magazine solutions (especially SAP BW) English language skills at B2/C1
1003262255;4;15;1;1;1;https://www.pracuj.pl/praca/data-analyst-sap-lodz,oferta,1003262255;91;Specjalista (Mid / Regular), Starszy specjalista (Senior);17220;21648.0;A minimum of three years of experience in a similar role Knowledge of the architecture of BI systems Knowledge about SAP data magazine solutions (especially SAP BW) English language skills at B2/C1
1003262255;4;15;1;1;1;https://www.pracuj.pl/praca/data-analyst-sap-lodz,oferta,1003262255;27;Specjalista (Mid / Regular), Starszy specjalista (Senior);17220;21648.0;A minimum of three years of experience in a similar role Knowledge of the architecture of BI systems Knowledge about SAP data magazine solutions (especially SAP BW) English language skills at B2/C1
1003223789;4;15;1;1;1;https://www.pracuj.pl/praca/etl-ipc-developer-warszawa,oferta,1003223789;75;Specjalista (Mid / Regular), Starszy specjalista (Senior);25830;27896.0;Min. 3 years of experience in the field of design, implementation and implementation of ETL solutions based on the Inforcica Power Center platform, Good knowledge of the Information Power Center platform in the construction of ETL processes, Good knowledge of RDBMS Oracle in the design of databases and application, Very good knowledge of SQL and knowledge of pl/sql, Knowledge of IT engineering issues and the methodology of their production, Experience in the design, implementation and implementation of information systems in the Oracle database environment, Practical experience in the design and programming of data warehouse and information systems for financial institutions or similar institutions regarding the nature of the business, Readiness for occasional visits to the office in Warsaw (2 days a month).
